anomaly_type,rows,P@3_persistrank,P@3_no_persist,P@3_no_criticality,P@3_anom_only,P@3_crit_only,P@3_random
high-cpu,1252,0.9984025559105432,1.0,0.9968051118210862,1.0,0.0,0.23961661341853036
high-fileIO,1257,0.9968178202068417,0.994431185361973,0.9363564041368337,0.9116945107398569,1.0,0.24264120922832141
high-latency,5293,0.4283015303230682,0.3294917815983374,0.38201398072926507,0.3185339127149065,0.0,0.26053277914226336
high-load,100,0.06,0.0,0.0,0.0,0.0,0.22
low-bandwidth,3577,0.6773832820799552,0.5649986021805983,0.5023762929829466,0.46211909421302766,0.0,0.2541235672351132
memory-leak,1257,0.9968178202068417,0.9984089101034208,0.984884645982498,0.9809069212410502,1.0,0.2529832935560859
out-of-order-packets,3471,0.38807260155574763,0.2546816479400749,0.3105733218092769,0.21751656583117257,0.0,0.23768366464995677
packetloss,5720,0.3202797202797203,0.31346153846153846,0.2839160839160839,0.3192307692307692,0.0,0.24755244755244754
rt-delay,1257,0.18933969769291964,0.0,0.5894988066825776,0.6101829753381066,0.0,0.2728719172633254
service-down,100,1.0,1.0,0.99,0.98,1.0,0.24
